kernel,dtype,N,stride,misalign,tail,median_ms,p10_ms,p90_ms,gflops,gibps,cpe,label,hint,check,vecmode
saxpy,f32,8192,1,0,0,0.0021,0.0021,0.00224,7.801905,43.59654,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,8192,1,0,0,0.0011,0.0011,0.0011,14.894545,83.229759,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,8192,1,0,0,0.0007,0.0007,0.00078,23.405714,130.789621,0.0,unit,mode:AVX2,isa:AVX2,AVX2
saxpy,f32,32768,1,0,0,0.0084,0.0084,0.0085,7.801905,43.59654,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,32768,1,0,0,0.0038,0.0038,0.00384,17.246316,96.371299,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,32768,1,0,0,0.0027,0.0026,0.00764,24.272593,135.633681,0.0,unit,mode:AVX2,isa:AVX2,AVX2
saxpy,f32,131072,1,0,0,0.0374,0.0374,0.03814,7.009198,39.166945,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,131072,1,0,0,0.0157,0.0156,0.01618,16.69707,93.30215,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,131072,1,0,0,0.0094,0.00936,0.00952,27.88766,155.834441,0.0,unit,mode:AVX2,isa:AVX2,AVX2
saxpy,f32,524288,1,0,0,0.1792,0.17706,0.18644,5.851429,32.697405,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,524288,1,0,0,0.0864,0.08586,0.08792,12.136296,67.81684,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,524288,1,0,0,0.079,0.0783,0.09202,13.273114,74.169304,0.0,unit,mode:AVX2,isa:AVX2,AVX2
saxpy,f32,1048576,1,0,0,0.7329,0.69638,0.7411,2.861444,15.989562,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,1048576,1,0,0,0.4748,0.42764,0.6826,4.416917,24.681445,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,1048576,1,0,0,0.2199,0.2155,0.24132,9.536844,53.291269,0.0,unit,mode:AVX2,isa:AVX2,AVX2
saxpy,f32,2097152,1,0,0,1.0294,1.017,1.16806,4.074513,22.768117,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,2097152,1,0,0,0.8186,0.80674,0.85692,5.123753,28.6312,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,2097152,1,0,0,0.9523,0.91082,1.19228,4.404394,24.611467,0.0,unit,mode:AVX2,isa:AVX2,AVX2
saxpy,f32,8388608,1,0,0,4.3054,4.05696,4.4938,3.896785,21.77498,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f32,8388608,1,0,0,3.788,3.64184,4.45324,4.429043,24.749208,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f32,8388608,1,0,0,4.0108,3.57646,4.95838,4.18301,23.374389,0.0,unit,mode:AVX2,isa:AVX2,AVX2
saxpy,f64,8192,1,0,0,0.0036,0.0035,0.00368,4.551111,50.86263,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f64,8192,1,0,0,0.0024,0.00236,0.00272,6.826667,76.293945,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f64,8192,1,0,0,0.0015,0.0015,0.00158,10.922667,122.070312,0.0,unit,mode:AVX2,isa:AVX2,AVX2
saxpy,f64,32768,1,0,0,0.0151,0.015,0.01694,4.340132,48.50476,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f64,32768,1,0,0,0.0087,0.0086,0.0204,7.532874,84.186422,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f64,32768,1,0,0,0.0056,0.0055,0.0068,11.702857,130.789621,0.0,unit,mode:AVX2,isa:AVX2,AVX2
saxpy,f64,131072,1,0,0,0.0705,0.06884,0.10516,3.718355,41.555851,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f64,131072,1,0,0,0.0493,0.04494,0.06564,5.317323,59.42571,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f64,131072,1,0,0,0.0489,0.04298,0.0763,5.360818,59.91181,0.0,unit,mode:AVX2,isa:AVX2,AVX2
saxpy,f64,524288,1,0,0,0.3904,0.37886,0.56624,2.685902,30.01729,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f64,524288,1,0,0,0.2946,0.28188,0.32492,3.559321,39.778513,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f64,524288,1,0,0,0.2351,0.23072,0.2531,4.460128,49.84581,0.0,unit,mode:AVX2,isa:AVX2,AVX2
saxpy,f64,1048576,1,0,0,0.917,0.89432,1.26016,2.286971,25.558888,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f64,1048576,1,0,0,0.8199,0.79104,0.98614,2.557814,28.585803,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f64,1048576,1,0,0,0.8184,0.78144,0.9188,2.562502,28.638196,0.0,unit,mode:AVX2,isa:AVX2,AVX2
saxpy,f64,2097152,1,0,0,1.9313,1.90606,2.1046,2.171752,24.271216,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f64,2097152,1,0,0,1.8762,1.82982,2.31438,2.235531,24.98401,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f64,2097152,1,0,0,2.0709,1.74016,2.39206,2.025353,22.635086,0.0,unit,mode:AVX2,isa:AVX2,AVX2
saxpy,f64,8388608,1,0,0,8.8691,8.30778,9.3147,1.891648,21.140815,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
saxpy,f64,8388608,1,0,0,7.5305,7.28984,8.0047,2.227902,24.898745,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
saxpy,f64,8388608,1,0,0,8.0378,7.8678,8.29532,2.08729,23.327279,0.0,unit,mode:AVX2,isa:AVX2,AVX2
