bytes,pattern,stride_B,iter,repetition,lat_ns_est
8192,random,64,5000000,0,1.398790
8192,random,64,5000000,1,1.352372
8192,random,64,5000000,2,1.435300
8192,random,64,5000000,3,1.360900
8192,random,64,5000000,4,1.316800
16384,random,64,5000000,0,1.341675
16384,random,64,5000000,1,1.361951
16384,random,64,5000000,2,1.297507
16384,random,64,5000000,3,1.307633
16384,random,64,5000000,4,1.308528
32768,random,64,5000000,0,1.341183
32768,random,64,5000000,1,1.306253
32768,random,64,5000000,2,1.257703
32768,random,64,5000000,3,1.491741
32768,random,64,5000000,4,1.310617
65536,random,64,5000000,0,1.413179
65536,random,64,5000000,1,1.444302
65536,random,64,5000000,2,1.433838
65536,random,64,5000000,3,1.422007
65536,random,64,5000000,4,1.460609
131072,random,64,5000000,0,2.325162
131072,random,64,5000000,1,2.165839
131072,random,64,5000000,2,2.236147
131072,random,64,5000000,3,2.201827
131072,random,64,5000000,4,2.148697
262144,random,64,5000000,0,3.027420
262144,random,64,5000000,1,2.941525
262144,random,64,5000000,2,3.356321
262144,random,64,5000000,3,2.976601
262144,random,64,5000000,4,2.999369
524288,random,64,5000000,0,3.809877
524288,random,64,5000000,1,3.869833
524288,random,64,5000000,2,3.904199
524288,random,64,5000000,3,3.864328
524288,random,64,5000000,4,3.690302
1048576,random,64,5000000,0,4.531053
1048576,random,64,5000000,1,4.293037
1048576,random,64,5000000,2,4.326650
1048576,random,64,5000000,3,4.290637
1048576,random,64,5000000,4,4.513995
2097152,random,64,5000000,0,4.326567
2097152,random,64,5000000,1,4.377346
2097152,random,64,5000000,2,4.466467
2097152,random,64,5000000,3,4.349689
2097152,random,64,5000000,4,4.298909
4194304,random,64,5000000,0,4.312700
4194304,random,64,5000000,1,4.479392
4194304,random,64,5000000,2,4.458640
4194304,random,64,5000000,3,4.363394
4194304,random,64,5000000,4,4.632982
8388608,random,64,5000000,0,8.644792
8388608,random,64,5000000,1,8.486209
8388608,random,64,5000000,2,8.619563
8388608,random,64,5000000,3,7.926397
8388608,random,64,5000000,4,8.258473
16777216,random,64,5000000,0,15.552820
16777216,random,64,5000000,1,15.692117
16777216,random,64,5000000,2,15.419424
16777216,random,64,5000000,3,16.454685
16777216,random,64,5000000,4,15.741774
33554432,random,64,5000000,0,10.102796
33554432,random,64,5000000,1,10.255229
33554432,random,64,5000000,2,9.753435
33554432,random,64,5000000,3,9.746578
33554432,random,64,5000000,4,9.634177
67108864,random,64,5000000,0,23.374166
67108864,random,64,5000000,1,24.204915
67108864,random,64,5000000,2,23.373795
67108864,random,64,5000000,3,20.964287
67108864,random,64,5000000,4,20.236879
134217728,random,64,5000000,0,13.518118
134217728,random,64,5000000,1,12.845982
134217728,random,64,5000000,2,12.645556
134217728,random,64,5000000,3,13.287537
134217728,random,64,5000000,4,12.451466
268435456,random,64,5000000,0,5.716257
268435456,random,64,5000000,1,5.754872
268435456,random,64,5000000,2,5.297077
268435456,random,64,5000000,3,5.284493
268435456,random,64,5000000,4,5.098429
536870912,random,64,5000000,0,48.670491
536870912,random,64,5000000,1,41.096285
536870912,random,64,5000000,2,66.047709
536870912,random,64,5000000,3,65.080709
536870912,random,64,5000000,4,53.332959
