bytes,pattern,stride_B,iter,repetition,lat_ns_est
8192,random,64,2000000,0,0.918984
8192,random,64,2000000,1,0.920860
16384,random,64,2000000,0,0.977654
16384,random,64,2000000,1,0.953661
32768,random,64,2000000,0,1.001645
32768,random,64,2000000,1,0.888006
65536,random,64,2000000,0,1.019527
65536,random,64,2000000,1,0.954353
131072,random,64,2000000,0,1.447000
131072,random,64,2000000,1,1.545377
262144,random,64,2000000,0,2.115292
262144,random,64,2000000,1,2.156970
524288,random,64,2000000,0,2.795892
524288,random,64,2000000,1,2.963095
1048576,random,64,2000000,0,3.230144
1048576,random,64,2000000,1,3.582228
2097152,random,64,2000000,0,3.467570
2097152,random,64,2000000,1,3.420126
4194304,random,64,2000000,0,3.538795
4194304,random,64,2000000,1,3.520771
8388608,random,64,2000000,0,6.876260
8388608,random,64,2000000,1,6.404148
16777216,random,64,2000000,0,13.105904
16777216,random,64,2000000,1,13.536244
33554432,random,64,2000000,0,8.571908
33554432,random,64,2000000,1,8.520558
