bytes,pattern,stride_B,iter,repetition,lat_ns_est
8192,random,64,5000000,0,3.348528
8192,random,64,5000000,1,2.852615
8192,random,64,5000000,2,2.615062
8192,random,64,5000000,3,2.409170
8192,random,64,5000000,4,2.306241
16384,random,64,5000000,0,2.277572
16384,random,64,5000000,1,2.279596
16384,random,64,5000000,2,2.240117
16384,random,64,5000000,3,2.036137
16384,random,64,5000000,4,2.087865
32768,random,64,5000000,0,2.135614
32768,random,64,5000000,1,1.903156
32768,random,64,5000000,2,2.227491
32768,random,64,5000000,3,2.016449
32768,random,64,5000000,4,2.136051
65536,random,64,5000000,0,2.594083
65536,random,64,5000000,1,2.603011
65536,random,64,5000000,2,2.574234
65536,random,64,5000000,3,2.825091
65536,random,64,5000000,4,2.220668
131072,random,64,5000000,0,3.467168
131072,random,64,5000000,1,3.674953
131072,random,64,5000000,2,2.247607
131072,random,64,5000000,3,1.987731
131072,random,64,5000000,4,4.644133
262144,random,64,5000000,0,5.707173
262144,random,64,5000000,1,5.160680
262144,random,64,5000000,2,3.837642
262144,random,64,5000000,3,4.936389
262144,random,64,5000000,4,2.690924
524288,random,64,5000000,0,4.656031
524288,random,64,5000000,1,5.832873
524288,random,64,5000000,2,7.413295
524288,random,64,5000000,3,7.697865
524288,random,64,5000000,4,4.889827
1048576,random,64,5000000,0,8.049883
1048576,random,64,5000000,1,9.391543
1048576,random,64,5000000,2,8.198469
1048576,random,64,5000000,3,7.999508
1048576,random,64,5000000,4,6.173899
2097152,random,64,5000000,0,16.331732
2097152,random,64,5000000,1,9.009207
2097152,random,64,5000000,2,4.485248
2097152,random,64,5000000,3,4.489927
2097152,random,64,5000000,4,6.416353
4194304,random,64,5000000,0,8.841089
4194304,random,64,5000000,1,8.406420
4194304,random,64,5000000,2,8.647405
4194304,random,64,5000000,3,8.049548
4194304,random,64,5000000,4,8.228766
8388608,random,64,5000000,0,17.921179
8388608,random,64,5000000,1,17.450914
8388608,random,64,5000000,2,15.844504
8388608,random,64,5000000,3,16.734368
8388608,random,64,5000000,4,17.121942
16777216,random,64,5000000,0,36.106856
16777216,random,64,5000000,1,33.531294
16777216,random,64,5000000,2,38.795683
16777216,random,64,5000000,3,22.858523
16777216,random,64,5000000,4,36.089942
33554432,random,64,5000000,0,19.583678
33554432,random,64,5000000,1,18.663032
33554432,random,64,5000000,2,16.220390
33554432,random,64,5000000,3,18.468097
33554432,random,64,5000000,4,15.204785
67108864,random,64,5000000,0,36.929771
67108864,random,64,5000000,1,22.770784
67108864,random,64,5000000,2,27.170645
67108864,random,64,5000000,3,37.781408
67108864,random,64,5000000,4,36.784408
134217728,random,64,5000000,0,23.222596
134217728,random,64,5000000,1,26.802734
134217728,random,64,5000000,2,25.250782
134217728,random,64,5000000,3,25.082218
134217728,random,64,5000000,4,23.023954
268435456,random,64,5000000,0,5.024881
268435456,random,64,5000000,1,5.148842
268435456,random,64,5000000,2,5.192175
268435456,random,64,5000000,3,5.753379
268435456,random,64,5000000,4,4.624232
536870912,random,64,5000000,0,89.538444
536870912,random,64,5000000,1,232.872484
536870912,random,64,5000000,2,65.240292
536870912,random,64,5000000,3,62.112439
536870912,random,64,5000000,4,110.930712
1073741824,random,64,5000000,0,136.628973
1073741824,random,64,5000000,1,173.132175
1073741824,random,64,5000000,2,167.444367
1073741824,random,64,5000000,3,161.197113
1073741824,random,64,5000000,4,152.958257
