test,bs,pattern,op,IOPS,MBps,lat_avg_ns,p95_ns,p99_ns,p999_ns
zero-4k-rand,4k,rand,R,1003143.33333333,3918.52864551544,693.229337666667,980.0,1421.33333333333,5045.33333333333
zero-4k-rand,4k,rand,R,938563.398915,3666.26327673594,751.503189666667,1005.33333333333,1416.0,4762.66666666667
zero-4k-rand,4k,rand,R,916904.610369333,3581.6586338679,768.540992333333,1069.33333333333,1661.33333333333,2821.33333333333
zero-4k-rand,4k,rand,R,926724.557769667,3620.01780319214,760.458717,1058.66666666667,1634.66666666667,3066.66666666667
zero-4k-rand,4k,rand,R,121840.472419,475.939345041911,9407.65866166667,26837.3333333333,56704.0,784213.333333333
zero-4k-rand,4k,rand,W,11295.7943933333,44.1241963704427,102731.233409,226773.333333333,297728.0,6773418.66666667
zero-128k-seq,128k,seq,R,5282.71919766667,660.33989906311,183399.578971333,692224.0,853333.333333333,1441792.0
zero-128k-seq,128k,seq,W,2320.415353,290.051918665568,411267.517255667,582997.333333333,1469098.66666667,12932437.3333333
zero-4k-rand,4k,rand,R,8027.84860766667,31.3587830861409,122813.851298,211968.0,289792.0,565930.666666667
zero-4k-rand,4k,rand,W,4562.60520333333,17.8226760228475,211961.809545,374784.0,513365.333333333,1647957.33333333
zero-128k-seq,128k,seq,R,5998.91672066667,749.864589373271,159628.900645,550229.333333333,738645.333333333,1329834.66666667
zero-128k-seq,128k,seq,W,2290.091129,286.261390368144,443171.948004333,595285.333333333,1893717.33333333,20927829.3333333
